record_id,crop_id,crop_name,region_id,state,year,avg_temp_c,total_rainfall_mm,soil_ph,nitrogen_kg_per_ha,irrigation_type,area_hectares,actual_yield_kg_per_ha
YLD000001,CROP001,Rice (Paddy),REG001,Punjab,2015,2117.3,1208.3,7.22,204.6,Sprinkler,1.89,4261.8
YLD000002,CROP001,Rice (Paddy),REG001,Punjab,2016,2118.0,1243.7,6.04,303.4,Rainfed,4.87,3792.8
YLD000003,CROP001,Rice (Paddy),REG001,Punjab,2017,2115.4,1765.1,7.51,238.6,Rainfed,1.72,2049.6
YLD000004,CROP001,Rice (Paddy),REG001,Punjab,2018,2123.1,1054.6,6.27,222.3,Flood,2.57,2333.6
YLD000005,CROP001,Rice (Paddy),REG001,Punjab,2019,2112.3,1336.9,7.02,331.1,Rainfed,4.32,2608.7
YLD000006,CROP001,Rice (Paddy),REG001,Punjab,2020,2112.4,810.9,7.49,356.2,Sprinkler,3.2,2364.1
YLD000007,CROP001,Rice (Paddy),REG001,Punjab,2021,2117.4,1607.2,6.82,293.4,Rainfed,4.05,3080.9
YLD000011,CROP001,Rice (Paddy),REG002,Punjab,2015,2119.0,1530.4,6.5,255.6,Drip,4.32,3615.3
YLD000012,CROP001,Rice (Paddy),REG002,Punjab,2016,2112.2,1294.6,6.5,302.7,Flood,1.3,3094.8
YLD000013,CROP001,Rice (Paddy),REG002,Punjab,2017,2112.6,684.1,6.92,445.3,Rainfed,2.88,1679.5
YLD000014,CROP001,Rice (Paddy),REG002,Punjab,2018,2117.6,962.6,6.37,245.6,Drip,3.54,4700.2
YLD000015,CROP001,Rice (Paddy),REG002,Punjab,2019,2107.5,1409.1,7.22,322.3,Sprinkler,0.71,2121.9
YLD000016,CROP001,Rice (Paddy),REG002,Punjab,2020,2115.0,962.3,6.93,216.8,Sprinkler,2.58,3659.1
YLD000017,CROP001,Rice (Paddy),REG002,Punjab,2021,2116.2,1963.5,6.81,302.6,Sprinkler,0.51,3205.1
YLD000021,CROP001,Rice (Paddy),REG003,Punjab,2015,2116.3,893.1,6.72,218.6,Rainfed,1.67,2714.5
YLD000022,CROP001,Rice (Paddy),REG003,Punjab,2016,2117.3,1688.1,6.08,294.9,Drip,2.0,3250.8
YLD000023,CROP001,Rice (Paddy),REG003,Punjab,2017,2114.7,984.6,5.81,278.2,Flood,4.14,2754.4
YLD000024,CROP001,Rice (Paddy),REG003,Punjab,2018,2115.5,1732.0,6.11,221.0,Rainfed,4.47,1918.6
YLD000025,CROP001,Rice (Paddy),REG003,Punjab,2019,2123.3,1349.9,6.55,311.1,Drip,2.9,3697.6
YLD000026,CROP001,Rice (Paddy),REG003,Punjab,2020,2121.3,1220.0,6.46,270.8,Flood,4.0,3706.7
YLD000027,CROP001,Rice (Paddy),REG003,Punjab,2021,2119.4,1203.3,6.12,321.3,Drip,2.84,4072.2
YLD000031,CROP001,Rice (Paddy),REG004,Haryana,2015,2117.7,664.2,5.79,301.6,Drip,2.16,3406.3
YLD000032,CROP001,Rice (Paddy),REG004,Haryana,2016,2116.6,1560.8,7.15,331.3,Rainfed,2.78,2561.9
YLD000033,CROP001,Rice (Paddy),REG004,Haryana,2017,2111.6,1157.9,7.18,295.8,Sprinkler,4.97,3144.3
YLD000034,CROP001,Rice (Paddy),REG004,Haryana,2018,2115.9,785.6,7.52,257.4,Flood,4.53,2847.7
YLD000035,CROP001,Rice (Paddy),REG004,Haryana,2019,2118.5,1412.5,6.82,304.7,Rainfed,4.57,3167.0
YLD000036,CROP001,Rice (Paddy),REG004,Haryana,2020,2115.4,719.2,6.91,352.0,Rainfed,4.9,2026.2
YLD000037,CROP001,Rice (Paddy),REG004,Haryana,2021,2119.6,1340.2,6.62,211.2,Sprinkler,0.89,4178.1
YLD000041,CROP001,Rice (Paddy),REG005,Haryana,2015,2118.0,358.5,6.4,345.7,Sprinkler,0.52,2108.7
YLD000042,CROP001,Rice (Paddy),REG005,Haryana,2016,2121.1,572.8,6.5,273.1,Drip,4.18,3543.7
YLD000043,CROP001,Rice (Paddy),REG005,Haryana,2017,2113.0,991.3,7.48,291.0,Sprinkler,4.71,2945.9
YLD000044,CROP001,Rice (Paddy),REG005,Haryana,2018,2117.1,1780.9,6.36,363.8,Sprinkler,2.81,3742.0
YLD000045,CROP001,Rice (Paddy),REG005,Haryana,2019,2121.4,680.3,7.05,360.2,Drip,0.6,2621.3
YLD000046,CROP001,Rice (Paddy),REG005,Haryana,2020,2110.6,896.2,6.48,249.9,Drip,1.88,2712.1
YLD000047,CROP001,Rice (Paddy),REG005,Haryana,2021,2114.0,1172.0,6.45,271.0,Rainfed,1.06,2261.4
YLD000051,CROP001,Rice (Paddy),REG006,Uttar Pradesh,2015,2121.7,284.9,6.55,237.5,Sprinkler,1.14,1888.8
YLD000052,CROP001,Rice (Paddy),REG006,Uttar Pradesh,2016,2119.7,432.2,7.05,340.5,Rainfed,0.66,1144.9
YLD000053,CROP001,Rice (Paddy),REG006,Uttar Pradesh,2017,2116.5,1589.1,7.21,235.1,Flood,2.58,3403.5
YLD000054,CROP001,Rice (Paddy),REG006,Uttar Pradesh,2018,2120.4,1267.3,7.21,263.9,Flood,3.82,3747.1
YLD000055,CROP001,Rice (Paddy),REG006,Uttar Pradesh,2019,2114.0,1170.0,6.94,319.1,Rainfed,2.33,2890.9
YLD000056,CROP001,Rice (Paddy),REG006,Uttar Pradesh,2020,2122.6,1340.1,6.96,318.6,Rainfed,2.54,2113.2
YLD000057,CROP001,Rice (Paddy),REG006,Uttar Pradesh,2021,2117.0,1825.0,7.85,316.4,Flood,1.69,3436.0
YLD000061,CROP001,Rice (Paddy),REG007,Uttar Pradesh,2015,2117.8,1392.8,7.14,244.2,Drip,4.02,3918.4
YLD000062,CROP001,Rice (Paddy),REG007,Uttar Pradesh,2016,2113.1,1711.8,6.9,242.5,Drip,0.75,3058.5
YLD000063,CROP001,Rice (Paddy),REG007,Uttar Pradesh,2017,2115.1,1620.8,6.58,257.1,Sprinkler,4.07,3548.0
YLD000064,CROP001,Rice (Paddy),REG007,Uttar Pradesh,2018,2115.2,1113.9,5.62,135.7,Rainfed,1.79,2760.1
YLD000065,CROP001,Rice (Paddy),REG007,Uttar Pradesh,2019,2112.5,1761.1,6.16,243.6,Drip,4.83,2051.4
YLD000066,CROP001,Rice (Paddy),REG007,Uttar Pradesh,2020,2112.0,1996.0,6.15,305.9,Rainfed,1.34,1049.5
YLD000067,CROP001,Rice (Paddy),REG007,Uttar Pradesh,2021,2114.3,1569.4,6.78,276.9,Drip,3.83,3499.7
YLD000071,CROP001,Rice (Paddy),REG008,Uttar Pradesh,2015,2117.1,1491.2,7.6,277.8,Sprinkler,3.05,3879.2
YLD000072,CROP001,Rice (Paddy),REG008,Uttar Pradesh,2016,2126.6,912.5,6.06,290.9,Sprinkler,4.24,2166.7
YLD000073,CROP001,Rice (Paddy),REG008,Uttar Pradesh,2017,2119.5,1183.9,5.84,303.9,Flood,3.67,3896.0
YLD000074,CROP001,Rice (Paddy),REG008,Uttar Pradesh,2018,2111.9,996.5,6.7,242.0,Flood,0.74,2878.6
YLD000075,CROP001,Rice (Paddy),REG008,Uttar Pradesh,2019,2118.9,592.0,7.84,313.0,Flood,1.14,2146.9
YLD000076,CROP001,Rice (Paddy),REG008,Uttar Pradesh,2020,2118.5,1012.1,6.31,223.1,Flood,3.69,3408.9
YLD000077,CROP001,Rice (Paddy),REG008,Uttar Pradesh,2021,2111.3,1009.1,6.61,320.6,Sprinkler,1.16,3032.0
YLD000081,CROP001,Rice (Paddy),REG009,Bihar,2015,2118.4,1009.4,7.08,322.5,Sprinkler,0.97,3327.4
YLD000082,CROP001,Rice (Paddy),REG009,Bihar,2016,2115.2,1001.5,6.93,284.4,Rainfed,4.94,2041.2
YLD000083,CROP001,Rice (Paddy),REG009,Bihar,2017,2113.2,1085.1,6.43,337.4,Flood,2.9,3978.9
YLD000084,CROP001,Rice (Paddy),REG009,Bihar,2018,2122.1,717.6,6.92,260.1,Sprinkler,4.89,2255.0
YLD000085,CROP001,Rice (Paddy),REG009,Bihar,2019,2113.7,1667.2,6.87,231.4,Drip,2.97,3180.0
