record_id,crop_id,crop_name,state,year,month,price_lag1_inr,price_lag2_inr,price_lag3_inr,rainfall_anomaly_mm,trade_demand_index,target_price_next_period_inr
PF000001,CROP001,Rice (Paddy),Punjab,2021,4,2125.5,2257.7,2071.3,6.0,56.8,2166.6
PF000002,CROP001,Rice (Paddy),Punjab,2021,5,2166.6,2125.5,2257.7,-24.6,50.4,1944.7
PF000003,CROP001,Rice (Paddy),Punjab,2021,6,1944.7,2166.6,2125.5,24.7,72.1,1980.9
PF000004,CROP001,Rice (Paddy),Punjab,2021,7,1980.9,1944.7,2166.6,-6.8,56.4,1878.8
PF000005,CROP001,Rice (Paddy),Punjab,2021,8,1878.8,1980.9,1944.7,-5.9,51.3,1561.4
PF000006,CROP001,Rice (Paddy),Punjab,2021,9,1561.4,1878.8,1980.9,6.7,52.1,1824.5
PF000007,CROP001,Rice (Paddy),Punjab,2021,10,1824.5,1561.4,1878.8,12.3,27.4,1785.0
PF000008,CROP001,Rice (Paddy),Punjab,2021,11,1785.0,1824.5,1561.4,7.4,49.5,1801.9
PF000009,CROP001,Rice (Paddy),Punjab,2021,12,1801.9,1785.0,1824.5,-7.0,47.0,1982.2
PF000010,CROP001,Rice (Paddy),Punjab,2022,1,1982.2,1801.9,1785.0,-5.0,12.7,2061.5
PF000011,CROP001,Rice (Paddy),Punjab,2022,2,2061.5,1982.2,1801.9,10.2,57.8,1923.0
PF000012,CROP001,Rice (Paddy),Punjab,2022,3,1923.0,2061.5,1982.2,-5.2,34.0,2410.7
PF000013,CROP001,Rice (Paddy),Punjab,2022,4,2410.7,1923.0,2061.5,-8.7,38.2,2112.1
PF000014,CROP001,Rice (Paddy),Punjab,2022,5,2112.1,2410.7,1923.0,-0.3,55.9,2043.9
PF000015,CROP001,Rice (Paddy),Punjab,2022,6,2043.9,2112.1,2410.7,14.7,50.5,2207.0
PF000016,CROP001,Rice (Paddy),Punjab,2022,7,2207.0,2043.9,2112.1,13.0,39.4,1798.7
PF000017,CROP001,Rice (Paddy),Punjab,2022,8,1798.7,2207.0,2043.9,2.7,56.1,1858.6
PF000018,CROP001,Rice (Paddy),Punjab,2022,9,1858.6,1798.7,2207.0,15.4,55.9,1797.5
PF000019,CROP001,Rice (Paddy),Punjab,2022,10,1797.5,1858.6,1798.7,11.8,48.6,1827.7
PF000020,CROP001,Rice (Paddy),Punjab,2022,11,1827.7,1797.5,1858.6,4.8,31.0,1796.3
PF000021,CROP001,Rice (Paddy),Punjab,2022,12,1796.3,1827.7,1797.5,-12.2,50.5,1938.4
PF000022,CROP001,Rice (Paddy),Punjab,2023,1,1938.4,1796.3,1827.7,-8.3,40.0,2130.1
PF000023,CROP001,Rice (Paddy),Punjab,2023,2,2130.1,1938.4,1796.3,12.0,49.6,2279.9
PF000024,CROP001,Rice (Paddy),Punjab,2023,3,2279.9,2130.1,1938.4,7.0,60.1,2175.0
PF000025,CROP001,Rice (Paddy),Punjab,2023,4,2175.0,2279.9,2130.1,9.6,58.7,2271.6
PF000026,CROP001,Rice (Paddy),Punjab,2023,5,2271.6,2175.0,2279.9,35.0,45.7,2184.0
PF000027,CROP001,Rice (Paddy),Punjab,2023,6,2184.0,2271.6,2175.0,-19.4,64.6,2077.8
PF000028,CROP001,Rice (Paddy),Punjab,2023,7,2077.8,2184.0,2271.6,19.9,60.1,1898.1
PF000029,CROP001,Rice (Paddy),Punjab,2023,8,1898.1,2077.8,2184.0,15.1,54.9,1788.9
PF000030,CROP001,Rice (Paddy),Punjab,2023,9,1788.9,1898.1,2077.8,-5.4,41.6,1717.4
PF000031,CROP001,Rice (Paddy),Punjab,2023,10,1717.4,1788.9,1898.1,-3.2,20.0,1927.3
PF000032,CROP001,Rice (Paddy),Punjab,2023,11,1927.3,1717.4,1788.9,-7.4,52.9,1792.7
PF000033,CROP001,Rice (Paddy),Punjab,2023,12,1792.7,1927.3,1717.4,15.7,50.2,1951.9
PF000034,CROP001,Rice (Paddy),Punjab,2024,1,1951.9,1792.7,1927.3,2.2,60.3,2118.1
PF000035,CROP001,Rice (Paddy),Punjab,2024,2,2118.1,1951.9,1792.7,-7.2,43.4,2242.3
PF000036,CROP001,Rice (Paddy),Punjab,2024,3,2242.3,2118.1,1951.9,3.5,43.8,2182.1
PF000037,CROP001,Rice (Paddy),Punjab,2024,4,2182.1,2242.3,2118.1,16.5,49.0,2185.2
PF000038,CROP001,Rice (Paddy),Punjab,2024,5,2185.2,2182.1,2242.3,7.6,48.8,2159.1
PF000039,CROP001,Rice (Paddy),Punjab,2024,6,2159.1,2185.2,2182.1,-4.8,45.6,2162.1
PF000040,CROP001,Rice (Paddy),Punjab,2024,7,2162.1,2159.1,2185.2,13.5,46.4,1961.4
PF000041,CROP001,Rice (Paddy),Punjab,2024,8,1961.4,2162.1,2159.1,-16.8,39.8,1742.6
PF000042,CROP001,Rice (Paddy),Punjab,2024,9,1742.6,1961.4,2162.1,-17.9,85.6,1747.3
PF000043,CROP001,Rice (Paddy),Punjab,2024,10,1747.3,1742.6,1961.4,27.8,65.8,1971.1
PF000044,CROP001,Rice (Paddy),Punjab,2024,11,1971.1,1747.3,1742.6,1.8,52.8,1916.8
PF000045,CROP001,Rice (Paddy),Punjab,2024,12,1916.8,1971.1,1747.3,-10.9,51.3,2021.8
PF000046,CROP001,Rice (Paddy),Punjab,2025,1,2021.8,1916.8,1971.1,1.4,32.5,2104.9
PF000047,CROP001,Rice (Paddy),Punjab,2025,2,2104.9,2021.8,1916.8,-1.1,69.7,2381.9
PF000048,CROP001,Rice (Paddy),Punjab,2025,3,2381.9,2104.9,2021.8,16.8,44.1,2340.1
PF000049,CROP001,Rice (Paddy),Punjab,2025,4,2340.1,2381.9,2104.9,-3.7,40.6,2197.5
PF000050,CROP001,Rice (Paddy),Punjab,2025,5,2197.5,2340.1,2381.9,-30.4,47.1,2315.4
PF000051,CROP001,Rice (Paddy),Punjab,2025,6,2315.4,2197.5,2340.1,-17.4,35.7,1927.5
PF000052,CROP001,Rice (Paddy),Punjab,2025,7,1927.5,2315.4,2197.5,-14.6,40.1,1918.9
PF000053,CROP001,Rice (Paddy),Punjab,2025,8,1918.9,1927.5,2315.4,-23.5,39.1,1872.9
PF000054,CROP001,Rice (Paddy),Punjab,2025,9,1872.9,1918.9,1927.5,7.5,47.1,1848.5
PF000055,CROP001,Rice (Paddy),Punjab,2025,10,1848.5,1872.9,1918.9,23.9,46.9,1770.5
PF000056,CROP001,Rice (Paddy),Punjab,2025,11,1770.5,1848.5,1872.9,3.1,58.8,1927.0
PF000057,CROP001,Rice (Paddy),Punjab,2025,12,1927.0,1770.5,1848.5,-1.4,48.8,2005.6
PF000058,CROP001,Rice (Paddy),Punjab,2026,1,2005.6,1927.0,1770.5,-15.9,26.3,2083.4
PF000059,CROP001,Rice (Paddy),Punjab,2026,2,2083.4,2005.6,1927.0,2.3,49.2,2262.1
PF000060,CROP001,Rice (Paddy),Punjab,2026,3,2262.1,2083.4,2005.6,-3.3,57.9,2342.4
PF000061,CROP001,Rice (Paddy),Punjab,2026,4,2342.4,2262.1,2083.4,-2.1,45.4,2331.1
PF000062,CROP001,Rice (Paddy),Punjab,2026,5,2331.1,2342.4,2262.1,15.3,45.4,2061.5
PF000063,CROP001,Rice (Paddy),Punjab,2026,6,2061.5,2331.1,2342.4,-8.0,40.9,2100.8
PF000064,CROP001,Rice (Paddy),Punjab,2026,7,2100.8,2061.5,2331.1,17.9,51.5,1897.1
PF000065,CROP001,Rice (Paddy),Punjab,2026,8,1897.1,2100.8,2061.5,-20.6,35.6,1974.7
PF000066,CROP001,Rice (Paddy),Punjab,2021,4,2187.8,2290.5,2158.7,41.6,73.9,2121.5
PF000067,CROP001,Rice (Paddy),Punjab,2021,5,2121.5,2187.8,2290.5,18.2,60.8,2056.4
PF000068,CROP001,Rice (Paddy),Punjab,2021,6,2056.4,2121.5,2187.8,-24.9,58.3,2134.3
PF000069,CROP001,Rice (Paddy),Punjab,2021,7,2134.3,2056.4,2121.5,24.8,49.7,1861.1
PF000070,CROP001,Rice (Paddy),Punjab,2021,8,1861.1,2134.3,2056.4,27.4,31.2,1747.1
PF000071,CROP001,Rice (Paddy),Punjab,2021,9,1747.1,1861.1,2134.3,39.9,64.4,1845.0
PF000072,CROP001,Rice (Paddy),Punjab,2021,10,1845.0,1747.1,1861.1,-3.5,67.1,1703.9
PF000073,CROP001,Rice (Paddy),Punjab,2021,11,1703.9,1845.0,1747.1,-14.7,49.7,2031.3
PF000074,CROP001,Rice (Paddy),Punjab,2021,12,2031.3,1703.9,1845.0,-8.2,38.0,2014.4
PF000075,CROP001,Rice (Paddy),Punjab,2022,1,2014.4,2031.3,1703.9,1.3,56.2,2136.0
PF000076,CROP001,Rice (Paddy),Punjab,2022,2,2136.0,2014.4,2031.3,22.7,42.2,2226.8
PF000077,CROP001,Rice (Paddy),Punjab,2022,3,2226.8,2136.0,2014.4,-14.8,64.8,2049.2
PF000078,CROP001,Rice (Paddy),Punjab,2022,4,2049.2,2226.8,2136.0,-15.9,54.7,2215.9
PF000079,CROP001,Rice (Paddy),Punjab,2022,5,2215.9,2049.2,2226.8,20.3,48.7,2036.7
PF000080,CROP001,Rice (Paddy),Punjab,2022,6,2036.7,2215.9,2049.2,4.0,48.7,1997.0
PF000081,CROP001,Rice (Paddy),Punjab,2022,7,1997.0,2036.7,2215.9,-2.7,44.5,2031.8
PF000082,CROP001,Rice (Paddy),Punjab,2022,8,2031.8,1997.0,2036.7,23.6,38.5,1867.6
PF000083,CROP001,Rice (Paddy),Punjab,2022,9,1867.6,2031.8,1997.0,-12.5,67.7,1852.1
PF000084,CROP001,Rice (Paddy),Punjab,2022,10,1852.1,1867.6,2031.8,-12.2,55.3,1836.2
PF000085,CROP001,Rice (Paddy),Punjab,2022,11,1836.2,1852.1,1867.6,8.4,58.1,1923.7
PF000086,CROP001,Rice (Paddy),Punjab,2022,12,1923.7,1836.2,1852.1,1.2,39.4,1984.4
PF000087,CROP001,Rice (Paddy),Punjab,2023,1,1984.4,1923.7,1836.2,-29.0,53.1,2034.9
PF000088,CROP001,Rice (Paddy),Punjab,2023,2,2034.9,1984.4,1923.7,-16.9,38.0,2115.1
PF000089,CROP001,Rice (Paddy),Punjab,2023,3,2115.1,2034.9,1984.4,-13.2,62.1,2061.6
PF000090,CROP001,Rice (Paddy),Punjab,2023,4,2061.6,2115.1,2034.9,11.3,26.6,2140.1
PF000091,CROP001,Rice (Paddy),Punjab,2023,5,2140.1,2061.6,2115.1,-22.6,65.3,2122.4
PF000092,CROP001,Rice (Paddy),Punjab,2023,6,2122.4,2140.1,2061.6,-10.8,40.1,1972.7
PF000093,CROP001,Rice (Paddy),Punjab,2023,7,1972.7,2122.4,2140.1,-6.6,33.5,1857.3
PF000094,CROP001,Rice (Paddy),Punjab,2023,8,1857.3,1972.7,2122.4,-9.9,52.3,1814.7
PF000095,CROP001,Rice (Paddy),Punjab,2023,9,1814.7,1857.3,1972.7,24.5,43.4,1969.8
PF000096,CROP001,Rice (Paddy),Punjab,2023,10,1969.8,1814.7,1857.3,-16.3,81.9,1754.9
PF000097,CROP001,Rice (Paddy),Punjab,2023,11,1754.9,1969.8,1814.7,8.8,58.1,1990.2
PF000098,CROP001,Rice (Paddy),Punjab,2023,12,1990.2,1754.9,1969.8,5.7,68.7,2137.8
PF000099,CROP001,Rice (Paddy),Punjab,2024,1,2137.8,1990.2,1754.9,15.0,40.4,2022.5
PF000100,CROP001,Rice (Paddy),Punjab,2024,2,2022.5,2137.8,1990.2,-1.5,45.8,2269.3
PF000101,CROP001,Rice (Paddy),Punjab,2024,3,2269.3,2022.5,2137.8,-0.5,26.1,2193.1
PF000102,CROP001,Rice (Paddy),Punjab,2024,4,2193.1,2269.3,2022.5,8.0,34.5,2194.9
PF000103,CROP001,Rice (Paddy),Punjab,2024,5,2194.9,2193.1,2269.3,-8.6,69.9,2242.7
PF000104,CROP001,Rice (Paddy),Punjab,2024,6,2242.7,2194.9,2193.1,-15.1,36.0,1978.0
PF000105,CROP001,Rice (Paddy),Punjab,2024,7,1978.0,2242.7,2194.9,0.7,37.1,1895.5
PF000106,CROP001,Rice (Paddy),Punjab,2024,8,1895.5,1978.0,2242.7,15.7,54.5,1855.4
PF000107,CROP001,Rice (Paddy),Punjab,2024,9,1855.4,1895.5,1978.0,-6.7,33.5,1763.4
PF000108,CROP001,Rice (Paddy),Punjab,2024,10,1763.4,1855.4,1895.5,11.1,49.7,1850.2
PF000109,CROP001,Rice (Paddy),Punjab,2024,11,1850.2,1763.4,1855.4,3.1,53.6,1992.7
PF000110,CROP001,Rice (Paddy),Punjab,2024,12,1992.7,1850.2,1763.4,-7.1,45.7,2119.9
PF000111,CROP001,Rice (Paddy),Punjab,2025,1,2119.9,1992.7,1850.2,-23.8,33.2,2233.3
PF000112,CROP001,Rice (Paddy),Punjab,2025,2,2233.3,2119.9,1992.7,2.9,31.8,2352.6
PF000113,CROP001,Rice (Paddy),Punjab,2025,3,2352.6,2233.3,2119.9,35.2,37.1,2183.3
PF000114,CROP001,Rice (Paddy),Punjab,2025,4,2183.3,2352.6,2233.3,3.5,37.0,2316.4
PF000115,CROP001,Rice (Paddy),Punjab,2025,5,2316.4,2183.3,2352.6,-3.8,49.6,2182.9
PF000116,CROP001,Rice (Paddy),Punjab,2025,6,2182.9,2316.4,2183.3,-14.5,65.5,2002.1
PF000117,CROP001,Rice (Paddy),Punjab,2025,7,2002.1,2182.9,2316.4,0.6,52.6,1843.2
PF000118,CROP001,Rice (Paddy),Punjab,2025,8,1843.2,2002.1,2182.9,-14.0,61.7,1903.3
PF000119,CROP001,Rice (Paddy),Punjab,2025,9,1903.3,1843.2,2002.1,15.4,50.1,1919.9
PF000120,CROP001,Rice (Paddy),Punjab,2025,10,1919.9,1903.3,1843.2,13.0,34.7,1982.2
PF000121,CROP001,Rice (Paddy),Punjab,2025,11,1982.2,1919.9,1903.3,6.9,37.1,2030.6
PF000122,CROP001,Rice (Paddy),Punjab,2025,12,2030.6,1982.2,1919.9,1.6,46.8,2073.7
PF000123,CROP001,Rice (Paddy),Punjab,2026,1,2073.7,2030.6,1982.2,6.6,26.1,2198.8
PF000124,CROP001,Rice (Paddy),Punjab,2026,2,2198.8,2073.7,2030.6,10.7,52.4,2181.4
PF000125,CROP001,Rice (Paddy),Punjab,2026,3,2181.4,2198.8,2073.7,-2.2,38.7,2155.4
