record_id,crop_id,crop_name,state,year,month,price_lag1_inr,price_lag2_inr,price_lag3_inr,rainfall_anomaly_mm,trade_demand_index,target_price_next_period_inr
PF000001,CROP001,Rice (Paddy),Punjab,2021,4,2125.5,2257.7,2071.3,6.0,56.8,2166.6
PF000002,CROP001,Rice (Paddy),Punjab,2021,5,2166.6,2125.5,2257.7,-24.6,50.4,1944.7
PF000003,CROP001,Rice (Paddy),Punjab,2021,6,1944.7,2166.6,2125.5,24.7,72.1,1980.9
PF000004,CROP001,Rice (Paddy),Punjab,2021,7,1980.9,1944.7,2166.6,-6.8,56.4,1878.8
PF000005,CROP001,Rice (Paddy),Punjab,2021,8,1878.8,1980.9,1944.7,-5.9,51.3,1561.4
PF000006,CROP001,Rice (Paddy),Punjab,2021,9,1561.4,1878.8,1980.9,6.7,52.1,1824.5
PF000007,CROP001,Rice (Paddy),Punjab,2021,10,1824.5,1561.4,1878.8,12.3,27.4,1785.0
PF000008,CROP001,Rice (Paddy),Punjab,2021,11,1785.0,1824.5,1561.4,7.4,49.5,1801.9
PF000009,CROP001,Rice (Paddy),Punjab,2021,12,1801.9,1785.0,1824.5,-7.0,47.0,1982.2
PF000010,CROP001,Rice (Paddy),Punjab,2022,1,1982.2,1801.9,1785.0,-5.0,12.7,2061.5
PF000011,CROP001,Rice (Paddy),Punjab,2022,2,2061.5,1982.2,1801.9,10.2,57.8,1923.0
PF000012,CROP001,Rice (Paddy),Punjab,2022,3,1923.0,2061.5,1982.2,-5.2,34.0,2410.7
PF000013,CROP001,Rice (Paddy),Punjab,2022,4,2410.7,1923.0,2061.5,-8.7,38.2,2112.1
PF000014,CROP001,Rice (Paddy),Punjab,2022,5,2112.1,2410.7,1923.0,-0.3,55.9,2043.9
PF000015,CROP001,Rice (Paddy),Punjab,2022,6,2043.9,2112.1,2410.7,14.7,50.5,2207.0
PF000016,CROP001,Rice (Paddy),Punjab,2022,7,2207.0,2043.9,2112.1,13.0,39.4,1798.7
PF000017,CROP001,Rice (Paddy),Punjab,2022,8,1798.7,2207.0,2043.9,2.7,56.1,1858.6
PF000018,CROP001,Rice (Paddy),Punjab,2022,9,1858.6,1798.7,2207.0,15.4,55.9,1797.5
PF000019,CROP001,Rice (Paddy),Punjab,2022,10,1797.5,1858.6,1798.7,11.8,48.6,1827.7
PF000020,CROP001,Rice (Paddy),Punjab,2022,11,1827.7,1797.5,1858.6,4.8,31.0,1796.3
PF000021,CROP001,Rice (Paddy),Punjab,2022,12,1796.3,1827.7,1797.5,-12.2,50.5,1938.4
PF000022,CROP001,Rice (Paddy),Punjab,2023,1,1938.4,1796.3,1827.7,-8.3,40.0,2130.1
PF000023,CROP001,Rice (Paddy),Punjab,2023,2,2130.1,1938.4,1796.3,12.0,49.6,2279.9
PF000024,CROP001,Rice (Paddy),Punjab,2023,3,2279.9,2130.1,1938.4,7.0,60.1,2175.0
PF000025,CROP001,Rice (Paddy),Punjab,2023,4,2175.0,2279.9,2130.1,9.6,58.7,2271.6
PF000026,CROP001,Rice (Paddy),Punjab,2023,5,2271.6,2175.0,2279.9,35.0,45.7,2184.0
PF000027,CROP001,Rice (Paddy),Punjab,2023,6,2184.0,2271.6,2175.0,-19.4,64.6,2077.8
PF000028,CROP001,Rice (Paddy),Punjab,2023,7,2077.8,2184.0,2271.6,19.9,60.1,1898.1
PF000029,CROP001,Rice (Paddy),Punjab,2023,8,1898.1,2077.8,2184.0,15.1,54.9,1788.9
PF000030,CROP001,Rice (Paddy),Punjab,2023,9,1788.9,1898.1,2077.8,-5.4,41.6,1717.4
PF000031,CROP001,Rice (Paddy),Punjab,2023,10,1717.4,1788.9,1898.1,-3.2,20.0,1927.3
PF000032,CROP001,Rice (Paddy),Punjab,2023,11,1927.3,1717.4,1788.9,-7.4,52.9,1792.7
PF000033,CROP001,Rice (Paddy),Punjab,2023,12,1792.7,1927.3,1717.4,15.7,50.2,1951.9
PF000066,CROP001,Rice (Paddy),Punjab,2021,4,2187.8,2290.5,2158.7,41.6,73.9,2121.5
PF000067,CROP001,Rice (Paddy),Punjab,2021,5,2121.5,2187.8,2290.5,18.2,60.8,2056.4
PF000068,CROP001,Rice (Paddy),Punjab,2021,6,2056.4,2121.5,2187.8,-24.9,58.3,2134.3
PF000069,CROP001,Rice (Paddy),Punjab,2021,7,2134.3,2056.4,2121.5,24.8,49.7,1861.1
PF000070,CROP001,Rice (Paddy),Punjab,2021,8,1861.1,2134.3,2056.4,27.4,31.2,1747.1
PF000071,CROP001,Rice (Paddy),Punjab,2021,9,1747.1,1861.1,2134.3,39.9,64.4,1845.0
PF000072,CROP001,Rice (Paddy),Punjab,2021,10,1845.0,1747.1,1861.1,-3.5,67.1,1703.9
PF000073,CROP001,Rice (Paddy),Punjab,2021,11,1703.9,1845.0,1747.1,-14.7,49.7,2031.3
PF000074,CROP001,Rice (Paddy),Punjab,2021,12,2031.3,1703.9,1845.0,-8.2,38.0,2014.4
PF000075,CROP001,Rice (Paddy),Punjab,2022,1,2014.4,2031.3,1703.9,1.3,56.2,2136.0
PF000076,CROP001,Rice (Paddy),Punjab,2022,2,2136.0,2014.4,2031.3,22.7,42.2,2226.8
PF000077,CROP001,Rice (Paddy),Punjab,2022,3,2226.8,2136.0,2014.4,-14.8,64.8,2049.2
PF000078,CROP001,Rice (Paddy),Punjab,2022,4,2049.2,2226.8,2136.0,-15.9,54.7,2215.9
PF000079,CROP001,Rice (Paddy),Punjab,2022,5,2215.9,2049.2,2226.8,20.3,48.7,2036.7
PF000080,CROP001,Rice (Paddy),Punjab,2022,6,2036.7,2215.9,2049.2,4.0,48.7,1997.0
PF000081,CROP001,Rice (Paddy),Punjab,2022,7,1997.0,2036.7,2215.9,-2.7,44.5,2031.8
PF000082,CROP001,Rice (Paddy),Punjab,2022,8,2031.8,1997.0,2036.7,23.6,38.5,1867.6
PF000083,CROP001,Rice (Paddy),Punjab,2022,9,1867.6,2031.8,1997.0,-12.5,67.7,1852.1
PF000084,CROP001,Rice (Paddy),Punjab,2022,10,1852.1,1867.6,2031.8,-12.2,55.3,1836.2
PF000085,CROP001,Rice (Paddy),Punjab,2022,11,1836.2,1852.1,1867.6,8.4,58.1,1923.7
PF000086,CROP001,Rice (Paddy),Punjab,2022,12,1923.7,1836.2,1852.1,1.2,39.4,1984.4
PF000087,CROP001,Rice (Paddy),Punjab,2023,1,1984.4,1923.7,1836.2,-29.0,53.1,2034.9
PF000088,CROP001,Rice (Paddy),Punjab,2023,2,2034.9,1984.4,1923.7,-16.9,38.0,2115.1
PF000089,CROP001,Rice (Paddy),Punjab,2023,3,2115.1,2034.9,1984.4,-13.2,62.1,2061.6
PF000090,CROP001,Rice (Paddy),Punjab,2023,4,2061.6,2115.1,2034.9,11.3,26.6,2140.1
PF000091,CROP001,Rice (Paddy),Punjab,2023,5,2140.1,2061.6,2115.1,-22.6,65.3,2122.4
PF000092,CROP001,Rice (Paddy),Punjab,2023,6,2122.4,2140.1,2061.6,-10.8,40.1,1972.7
PF000093,CROP001,Rice (Paddy),Punjab,2023,7,1972.7,2122.4,2140.1,-6.6,33.5,1857.3
PF000094,CROP001,Rice (Paddy),Punjab,2023,8,1857.3,1972.7,2122.4,-9.9,52.3,1814.7
PF000095,CROP001,Rice (Paddy),Punjab,2023,9,1814.7,1857.3,1972.7,24.5,43.4,1969.8
PF000096,CROP001,Rice (Paddy),Punjab,2023,10,1969.8,1814.7,1857.3,-16.3,81.9,1754.9
PF000097,CROP001,Rice (Paddy),Punjab,2023,11,1754.9,1969.8,1814.7,8.8,58.1,1990.2
PF000098,CROP001,Rice (Paddy),Punjab,2023,12,1990.2,1754.9,1969.8,5.7,68.7,2137.8
PF000131,CROP001,Rice (Paddy),Punjab,2021,4,2592.0,2179.1,2096.3,1.3,44.9,2503.0
PF000132,CROP001,Rice (Paddy),Punjab,2021,5,2503.0,2592.0,2179.1,15.7,17.7,2276.5
PF000133,CROP001,Rice (Paddy),Punjab,2021,6,2276.5,2503.0,2592.0,-0.4,47.1,2066.2
PF000134,CROP001,Rice (Paddy),Punjab,2021,7,2066.2,2276.5,2503.0,-4.0,29.0,2053.0
PF000135,CROP001,Rice (Paddy),Punjab,2021,8,2053.0,2066.2,2276.5,10.1,51.6,2093.3
PF000136,CROP001,Rice (Paddy),Punjab,2021,9,2093.3,2053.0,2066.2,-18.0,37.6,1957.0
PF000137,CROP001,Rice (Paddy),Punjab,2021,10,1957.0,2093.3,2053.0,7.0,61.9,2163.9
PF000138,CROP001,Rice (Paddy),Punjab,2021,11,2163.9,1957.0,2093.3,3.5,47.0,2095.7
PF000139,CROP001,Rice (Paddy),Punjab,2021,12,2095.7,2163.9,1957.0,28.9,39.6,2180.1
PF000140,CROP001,Rice (Paddy),Punjab,2022,1,2180.1,2095.7,2163.9,6.3,57.1,2264.0
PF000141,CROP001,Rice (Paddy),Punjab,2022,2,2264.0,2180.1,2095.7,26.0,59.0,2384.8
PF000142,CROP001,Rice (Paddy),Punjab,2022,3,2384.8,2264.0,2180.1,-30.8,46.6,2294.3
PF000143,CROP001,Rice (Paddy),Punjab,2022,4,2294.3,2384.8,2264.0,-7.1,20.0,2188.7
PF000144,CROP001,Rice (Paddy),Punjab,2022,5,2188.7,2294.3,2384.8,-16.7,61.9,2236.9
PF000145,CROP001,Rice (Paddy),Punjab,2022,6,2236.9,2188.7,2294.3,-31.0,38.9,2136.9
PF000146,CROP001,Rice (Paddy),Punjab,2022,7,2136.9,2236.9,2188.7,-3.8,51.6,2079.5
PF000147,CROP001,Rice (Paddy),Punjab,2022,8,2079.5,2136.9,2236.9,2.8,40.4,1936.2
PF000148,CROP001,Rice (Paddy),Punjab,2022,9,1936.2,2079.5,2136.9,-11.5,58.2,1988.0
PF000149,CROP001,Rice (Paddy),Punjab,2022,10,1988.0,1936.2,2079.5,8.2,48.1,2023.9
PF000150,CROP001,Rice (Paddy),Punjab,2022,11,2023.9,1988.0,1936.2,14.9,58.8,2204.2
PF000151,CROP001,Rice (Paddy),Punjab,2022,12,2204.2,2023.9,1988.0,23.8,44.4,2300.1
PF000152,CROP001,Rice (Paddy),Punjab,2023,1,2300.1,2204.2,2023.9,0.6,37.9,2261.9
PF000153,CROP001,Rice (Paddy),Punjab,2023,2,2261.9,2300.1,2204.2,-18.9,62.2,2339.2
PF000154,CROP001,Rice (Paddy),Punjab,2023,3,2339.2,2261.9,2300.1,-10.9,30.1,2492.9
PF000155,CROP001,Rice (Paddy),Punjab,2023,4,2492.9,2339.2,2261.9,-4.7,65.1,2274.3
PF000156,CROP001,Rice (Paddy),Punjab,2023,5,2274.3,2492.9,2339.2,16.0,52.1,2346.0
PF000157,CROP001,Rice (Paddy),Punjab,2023,6,2346.0,2274.3,2492.9,-21.1,45.6,2118.6
PF000158,CROP001,Rice (Paddy),Punjab,2023,7,2118.6,2346.0,2274.3,-6.2,59.3,2016.2
PF000159,CROP001,Rice (Paddy),Punjab,2023,8,2016.2,2118.6,2346.0,1.5,60.4,1973.1
PF000160,CROP001,Rice (Paddy),Punjab,2023,9,1973.1,2016.2,2118.6,10.2,54.4,2050.5
PF000161,CROP001,Rice (Paddy),Punjab,2023,10,2050.5,1973.1,2016.2,-14.4,62.1,2014.3
PF000162,CROP001,Rice (Paddy),Punjab,2023,11,2014.3,2050.5,1973.1,-5.9,29.3,2105.8
PF000163,CROP001,Rice (Paddy),Punjab,2023,12,2105.8,2014.3,2050.5,-3.7,62.2,2303.9
PF000196,CROP001,Rice (Paddy),Haryana,2021,4,1977.8,1884.0,1756.4,-2.5,66.4,1816.0
PF000197,CROP001,Rice (Paddy),Haryana,2021,5,1816.0,1977.8,1884.0,2.6,29.6,1719.2
PF000198,CROP001,Rice (Paddy),Haryana,2021,6,1719.2,1816.0,1977.8,-24.8,34.2,1675.7
PF000199,CROP001,Rice (Paddy),Haryana,2021,7,1675.7,1719.2,1816.0,25.2,34.3,1612.6
PF000200,CROP001,Rice (Paddy),Haryana,2021,8,1612.6,1675.7,1719.2,10.6,27.9,1498.4
PF000201,CROP001,Rice (Paddy),Haryana,2021,9,1498.4,1612.6,1675.7,9.3,59.0,1440.6
PF000202,CROP001,Rice (Paddy),Haryana,2021,10,1440.6,1498.4,1612.6,-30.3,50.3,1511.1
PF000203,CROP001,Rice (Paddy),Haryana,2021,11,1511.1,1440.6,1498.4,-7.4,35.0,1549.0
PF000204,CROP001,Rice (Paddy),Haryana,2021,12,1549.0,1511.1,1440.6,-7.2,32.8,1732.2
PF000205,CROP001,Rice (Paddy),Haryana,2022,1,1732.2,1549.0,1511.1,-5.5,61.3,1747.2
PF000206,CROP001,Rice (Paddy),Haryana,2022,2,1747.2,1732.2,1549.0,-27.7,48.5,1809.5
PF000207,CROP001,Rice (Paddy),Haryana,2022,3,1809.5,1747.2,1732.2,20.1,64.6,1841.3
PF000208,CROP001,Rice (Paddy),Haryana,2022,4,1841.3,1809.5,1747.2,16.3,69.7,1857.7
PF000209,CROP001,Rice (Paddy),Haryana,2022,5,1857.7,1841.3,1809.5,27.4,48.8,1879.0
PF000210,CROP001,Rice (Paddy),Haryana,2022,6,1879.0,1857.7,1841.3,29.5,53.3,1725.5
PF000211,CROP001,Rice (Paddy),Haryana,2022,7,1725.5,1879.0,1857.7,1.3,34.5,1533.9
PF000212,CROP001,Rice (Paddy),Haryana,2022,8,1533.9,1725.5,1879.0,26.0,42.0,1615.8
PF000213,CROP001,Rice (Paddy),Haryana,2022,9,1615.8,1533.9,1725.5,-12.3,57.4,1643.5
PF000214,CROP001,Rice (Paddy),Haryana,2022,10,1643.5,1615.8,1533.9,-5.5,57.7,1571.4
PF000215,CROP001,Rice (Paddy),Haryana,2022,11,1571.4,1643.5,1615.8,18.1,47.9,1655.8
PF000216,CROP001,Rice (Paddy),Haryana,2022,12,1655.8,1571.4,1643.5,3.5,51.4,1677.6
PF000217,CROP001,Rice (Paddy),Haryana,2023,1,1677.6,1655.8,1571.4,35.4,36.2,1962.3
PF000218,CROP001,Rice (Paddy),Haryana,2023,2,1962.3,1677.6,1655.8,5.6,22.4,1880.4
PF000219,CROP001,Rice (Paddy),Haryana,2023,3,1880.4,1962.3,1677.6,-15.5,50.2,1878.7
PF000220,CROP001,Rice (Paddy),Haryana,2023,4,1878.7,1880.4,1962.3,11.5,46.2,1867.2
PF000221,CROP001,Rice (Paddy),Haryana,2023,5,1867.2,1878.7,1880.4,15.1,41.4,1841.0
