clean_price_id,crop_id,crop_name,state,year_month,avg_modal_price_inr,min_price_inr,max_price_inr,total_arrivals_tonnes,n_source_records
MPC000001,CROP001,Rice (Paddy),Andhra Pradesh,2024-01,4772.0,4390.0,5154.0,124.6,1
MPC000002,CROP001,Rice (Paddy),Andhra Pradesh,2024-02,4665.0,4292.0,5038.0,52.0,1
MPC000003,CROP001,Rice (Paddy),Andhra Pradesh,2024-03,5343.0,4916.0,5770.0,46.7,1
MPC000004,CROP001,Rice (Paddy),Andhra Pradesh,2024-04,5195.0,4779.0,5611.0,186.7,1
MPC000005,CROP001,Rice (Paddy),Andhra Pradesh,2024-05,4661.0,4288.0,5034.0,181.3,1
MPC000006,CROP001,Rice (Paddy),Andhra Pradesh,2024-06,4515.0,4154.0,4876.0,183.6,1
MPC000007,CROP001,Rice (Paddy),Andhra Pradesh,2024-07,4204.0,3868.0,4540.0,160.5,1
MPC000008,CROP001,Rice (Paddy),Andhra Pradesh,2024-08,4078.0,3752.0,4404.0,126.3,1
MPC000009,CROP001,Rice (Paddy),Andhra Pradesh,2024-09,3916.0,3603.0,4229.0,153.1,1
MPC000010,CROP001,Rice (Paddy),Andhra Pradesh,2024-10,4017.0,3696.0,4338.0,332.3,1
MPC000011,CROP001,Rice (Paddy),Andhra Pradesh,2024-11,4698.0,4322.0,5074.0,73.5,1
MPC000012,CROP001,Rice (Paddy),Andhra Pradesh,2024-12,4772.0,4390.0,5154.0,108.9,1
MPC000013,CROP001,Rice (Paddy),Andhra Pradesh,2025-01,4961.0,4564.0,5358.0,115.5,1
MPC000014,CROP001,Rice (Paddy),Andhra Pradesh,2025-02,5104.0,4696.0,5512.0,25.8,1
MPC000015,CROP001,Rice (Paddy),Andhra Pradesh,2025-03,5386.0,4955.0,5817.0,87.5,1
MPC000016,CROP001,Rice (Paddy),Andhra Pradesh,2025-04,4970.0,4572.0,5368.0,325.6,1
MPC000017,CROP001,Rice (Paddy),Andhra Pradesh,2025-05,4978.0,4580.0,5376.0,142.5,1
MPC000018,CROP001,Rice (Paddy),Andhra Pradesh,2025-06,4867.0,4478.0,5256.0,307.9,1
MPC000019,CROP001,Rice (Paddy),Andhra Pradesh,2025-07,4927.0,4533.0,5321.0,177.9,1
MPC000020,CROP001,Rice (Paddy),Andhra Pradesh,2025-08,4511.0,4150.0,4872.0,128.9,1
MPC000021,CROP001,Rice (Paddy),Andhra Pradesh,2025-09,3873.0,3563.0,4183.0,115.3,1
MPC000022,CROP001,Rice (Paddy),Andhra Pradesh,2025-10,4085.0,3758.0,4412.0,50.0,1
MPC000023,CROP001,Rice (Paddy),Andhra Pradesh,2025-11,4350.0,4002.0,4698.0,128.0,1
MPC000024,CROP001,Rice (Paddy),Andhra Pradesh,2025-12,5024.0,4622.0,5426.0,93.0,1
MPC000025,CROP001,Rice (Paddy),Andhra Pradesh,2026-01,4909.0,4516.0,5302.0,177.0,1
MPC000026,CROP001,Rice (Paddy),Andhra Pradesh,2026-02,5223.0,4805.0,5641.0,159.0,1
MPC000027,CROP001,Rice (Paddy),Andhra Pradesh,2026-03,5884.0,5413.0,6355.0,110.8,1
MPC000028,CROP001,Rice (Paddy),Andhra Pradesh,2026-04,5556.0,5112.0,6000.0,86.6,1
MPC000029,CROP001,Rice (Paddy),Andhra Pradesh,2026-05,5407.0,4974.0,5840.0,134.9,1
MPC000030,CROP001,Rice (Paddy),Andhra Pradesh,2026-06,4729.0,4351.0,5107.0,56.1,1
MPC000031,CROP001,Rice (Paddy),Andhra Pradesh,2026-07,4638.0,4267.0,5009.0,128.8,1
MPC000032,CROP001,Rice (Paddy),Andhra Pradesh,2026-08,4499.0,4139.0,4859.0,119.8,1
MPC000033,CROP001,Rice (Paddy),Madhya Pradesh,2024-01,4513.0,4152.0,4874.0,47.9,1
MPC000034,CROP001,Rice (Paddy),Madhya Pradesh,2024-02,4743.0,4364.0,5122.0,228.1,1
MPC000035,CROP001,Rice (Paddy),Madhya Pradesh,2024-03,5445.0,5009.0,5881.0,39.6,1
MPC000036,CROP001,Rice (Paddy),Madhya Pradesh,2024-04,4603.0,4235.0,4971.0,118.4,1
MPC000037,CROP001,Rice (Paddy),Madhya Pradesh,2024-05,4556.0,4192.0,4920.0,166.6,1
MPC000038,CROP001,Rice (Paddy),Madhya Pradesh,2024-06,4294.0,3950.0,4638.0,159.3,1
MPC000039,CROP001,Rice (Paddy),Madhya Pradesh,2024-07,4318.0,3973.0,4663.0,150.7,1
MPC000040,CROP001,Rice (Paddy),Madhya Pradesh,2024-08,3985.0,3666.0,4304.0,200.7,1
MPC000041,CROP001,Rice (Paddy),Madhya Pradesh,2024-09,3888.0,3577.0,4199.0,6.1,1
MPC000042,CROP001,Rice (Paddy),Madhya Pradesh,2024-10,4338.0,3991.0,4685.0,102.4,1
MPC000043,CROP001,Rice (Paddy),Madhya Pradesh,2024-11,3978.0,3660.0,4296.0,105.3,1
MPC000044,CROP001,Rice (Paddy),Madhya Pradesh,2024-12,4690.0,4315.0,5065.0,60.5,1
MPC000045,CROP001,Rice (Paddy),Madhya Pradesh,2025-01,4875.0,4485.0,5265.0,29.3,1
MPC000046,CROP001,Rice (Paddy),Madhya Pradesh,2025-02,4997.0,4597.0,5397.0,317.0,1
MPC000047,CROP001,Rice (Paddy),Madhya Pradesh,2025-03,5476.0,5038.0,5914.0,135.7,1
MPC000048,CROP001,Rice (Paddy),Madhya Pradesh,2025-04,5404.0,4972.0,5836.0,59.5,1
MPC000049,CROP001,Rice (Paddy),Madhya Pradesh,2025-05,5068.0,4663.0,5473.0,92.8,1
MPC000050,CROP001,Rice (Paddy),Madhya Pradesh,2025-06,4617.0,4248.0,4986.0,46.3,1
MPC000051,CROP001,Rice (Paddy),Madhya Pradesh,2025-07,4262.0,3921.0,4603.0,179.3,1
MPC000052,CROP001,Rice (Paddy),Madhya Pradesh,2025-08,4241.0,3902.0,4580.0,87.0,1
MPC000053,CROP001,Rice (Paddy),Madhya Pradesh,2025-09,3948.0,3632.0,4264.0,73.9,1
MPC000054,CROP001,Rice (Paddy),Madhya Pradesh,2025-10,4070.0,3744.0,4396.0,64.0,1
MPC000055,CROP001,Rice (Paddy),Madhya Pradesh,2025-11,4382.0,4031.0,4733.0,92.0,1
MPC000056,CROP001,Rice (Paddy),Madhya Pradesh,2025-12,4661.0,4288.0,5034.0,61.5,1
MPC000057,CROP001,Rice (Paddy),Madhya Pradesh,2026-01,5526.0,5084.0,5968.0,68.0,1
MPC000058,CROP001,Rice (Paddy),Madhya Pradesh,2026-02,5354.0,4926.0,5782.0,116.8,1
MPC000059,CROP001,Rice (Paddy),Madhya Pradesh,2026-03,5733.0,5274.0,6192.0,175.6,1
MPC000060,CROP001,Rice (Paddy),Madhya Pradesh,2026-04,5168.0,4755.0,5581.0,128.6,1
MPC000061,CROP001,Rice (Paddy),Madhya Pradesh,2026-05,5220.0,4802.0,5638.0,86.7,1
MPC000062,CROP001,Rice (Paddy),Madhya Pradesh,2026-06,4750.0,4370.0,5130.0,58.2,1
MPC000063,CROP001,Rice (Paddy),Madhya Pradesh,2026-07,4421.0,4067.0,4775.0,82.1,1
MPC000064,CROP001,Rice (Paddy),Madhya Pradesh,2026-08,4563.0,4198.0,4928.0,148.7,1
MPC000065,CROP001,Rice (Paddy),Maharashtra,2024-01,4988.0,4589.0,5387.0,115.0,1
MPC000066,CROP001,Rice (Paddy),Maharashtra,2024-02,4952.0,4556.0,5348.0,76.0,1
MPC000067,CROP001,Rice (Paddy),Maharashtra,2024-03,4787.0,4404.0,5170.0,86.6,1
MPC000068,CROP001,Rice (Paddy),Maharashtra,2024-04,4572.0,4206.0,4938.0,121.8,1
MPC000069,CROP001,Rice (Paddy),Maharashtra,2024-05,4915.0,4522.0,5308.0,68.4,1
MPC000070,CROP001,Rice (Paddy),Maharashtra,2024-06,4440.0,4085.0,4795.0,50.5,1
MPC000071,CROP001,Rice (Paddy),Maharashtra,2024-07,4386.0,4035.0,4737.0,99.9,1
MPC000072,CROP001,Rice (Paddy),Maharashtra,2024-08,4042.0,3719.0,4365.0,75.8,1
MPC000073,CROP001,Rice (Paddy),Maharashtra,2024-09,4188.0,3853.0,4523.0,223.2,1
MPC000074,CROP001,Rice (Paddy),Maharashtra,2024-10,4069.0,3743.0,4395.0,53.5,1
MPC000075,CROP001,Rice (Paddy),Maharashtra,2024-11,4438.0,4083.0,4793.0,133.2,1
MPC000076,CROP001,Rice (Paddy),Maharashtra,2024-12,4676.0,4302.0,5050.0,54.7,1
MPC000077,CROP001,Rice (Paddy),Maharashtra,2025-01,4758.0,4377.0,5139.0,54.2,1
MPC000078,CROP001,Rice (Paddy),Maharashtra,2025-02,5140.0,4729.0,5551.0,127.2,1
MPC000079,CROP001,Rice (Paddy),Maharashtra,2025-03,4483.0,4124.0,4842.0,242.7,1
