weather_feature_id,region_id,avg_temp_min_c,avg_temp_max_c,total_rainfall_mm,rainy_days,avg_humidity_pct,window_start,window_end
WXF001,REG001,17.7,29.3,618.7,77,79.9,2026-06-01,2026-08-29
WXF002,REG002,17.4,29.8,674.1,80,80.9,2026-06-01,2026-08-29
WXF003,REG003,17.8,29.8,706.8,81,79.8,2026-06-01,2026-08-29
WXF004,REG004,18.0,30.0,803.3,84,79.9,2026-06-01,2026-08-29
WXF005,REG005,18.3,30.6,730.0,83,79.9,2026-06-01,2026-08-29
WXF006,REG006,18.4,30.3,715.8,85,79.4,2026-06-01,2026-08-29
WXF007,REG007,19.3,31.1,782.0,80,79.4,2026-06-01,2026-08-29
WXF008,REG008,19.7,31.5,724.0,81,79.6,2026-06-01,2026-08-29
WXF009,REG009,19.6,31.6,691.4,81,79.9,2026-06-01,2026-08-29
WXF010,REG010,19.8,31.8,733.6,81,79.9,2026-06-01,2026-08-29
WXF011,REG011,20.4,32.5,806.4,86,80.4,2026-06-01,2026-08-29
WXF012,REG012,20.1,32.3,707.0,83,79.5,2026-06-01,2026-08-29
WXF013,REG013,20.9,32.8,614.7,79,80.4,2026-06-01,2026-08-29
WXF014,REG014,20.3,32.5,713.6,80,79.4,2026-06-01,2026-08-29
WXF015,REG015,20.5,32.6,737.9,81,79.5,2026-06-01,2026-08-29
WXF016,REG016,21.5,33.6,695.8,80,79.8,2026-06-01,2026-08-29
WXF017,REG017,22.1,34.2,861.7,83,80.2,2026-06-01,2026-08-29
WXF018,REG018,21.2,33.1,813.3,79,78.7,2026-06-01,2026-08-29
WXF019,REG019,20.7,32.6,758.7,83,79.3,2026-06-01,2026-08-29
WXF020,REG020,20.7,32.6,748.3,84,80.1,2026-06-01,2026-08-29
WXF021,REG021,19.0,31.1,644.0,84,80.3,2026-06-01,2026-08-29
WXF022,REG022,19.7,31.6,755.5,80,79.8,2026-06-01,2026-08-29
WXF023,REG023,23.2,34.6,650.4,75,80.6,2026-06-01,2026-08-29
WXF024,REG024,24.1,36.3,685.1,79,80.8,2026-06-01,2026-08-29
WXF025,REG025,22.5,34.5,700.9,78,80.4,2026-06-01,2026-08-29
WXF026,REG026,22.6,34.9,626.4,78,80.6,2026-06-01,2026-08-29
WXF027,REG027,24.8,36.9,755.2,84,80.5,2026-06-01,2026-08-29
WXF028,REG028,24.6,36.7,715.8,85,79.5,2026-06-01,2026-08-29
