plan_id,farm_id,farmer_id,plan_date,crop_allocation_json,expected_revenue_inr,expected_cost_inr,expected_profit_inr,expected_roi_pct,status
PLAN0001,FARM0058,FARM_USR0049,2026-08-29,"[{""section_id"": ""SEC00091"", ""crop_id"": ""CROP003"", ""crop_name"": ""Maize"", ""area_hectares"": 0.29, ""expected_cost_inr"": 7250.0, ""expected_revenue_inr"": 20574.0}, {""section_id"": ""SEC00092"", ""crop_id"": ""CROP001"", ""crop_name"": ""Rice (Paddy)"", ""area_hectares"": 0.24, ""expected_cost_inr"": 9960.0, ""expected_revenue_inr"": 45995.0}]",66569.0,17210.0,49359.0,286.8,Draft - Pending Farmer Confirmation
PLAN0002,FARM0060,FARM_USR0051,2026-08-29,"[{""section_id"": ""SEC00095"", ""crop_id"": ""CROP007"", ""crop_name"": ""Chickpea (Gram)"", ""area_hectares"": 1.2, ""expected_cost_inr"": 22800.0, ""expected_revenue_inr"": 55786.0}]",55786.0,22800.0,32986.0,144.7,Draft - Pending Farmer Confirmation
PLAN0003,FARM0071,FARM_USR0060,2026-08-29,"[{""section_id"": ""SEC00111"", ""crop_id"": ""CROP019"", ""crop_name"": ""Potato"", ""area_hectares"": 3.01, ""expected_cost_inr"": 198660.0, ""expected_revenue_inr"": 1091968.0}]",1091968.0,198660.0,893308.0,449.7,Draft - Pending Farmer Confirmation
PLAN0004,FARM0066,FARM_USR0055,2026-08-29,"[{""section_id"": ""SEC00103"", ""crop_id"": ""CROP008"", ""crop_name"": ""Pigeon Pea (Tur)"", ""area_hectares"": 1.15, ""expected_cost_inr"": 21045.0, ""expected_revenue_inr"": 19634.0}]",19634.0,21045.0,-1411.0,-6.7,Draft - Pending Farmer Confirmation
PLAN0005,FARM0025,FARM_USR0023,2026-08-29,"[{""section_id"": ""SEC00039"", ""crop_id"": ""CROP021"", ""crop_name"": ""Tomato"", ""area_hectares"": 0.94, ""expected_cost_inr"": 54520.0, ""expected_revenue_inr"": 416890.0}, {""section_id"": ""SEC00040"", ""crop_id"": ""CROP003"", ""crop_name"": ""Maize"", ""area_hectares"": 1.17, ""expected_cost_inr"": 29250.0, ""expected_revenue_inr"": 83004.0}]",499894.0,83770.0,416124.0,496.7,Draft - Pending Farmer Confirmation
PLAN0006,FARM0024,FARM_USR0022,2026-08-29,"[{""section_id"": ""SEC00037"", ""crop_id"": ""CROP003"", ""crop_name"": ""Maize"", ""area_hectares"": 0.45, ""expected_cost_inr"": 11250.0, ""expected_revenue_inr"": 31925.0}, {""section_id"": ""SEC00038"", ""crop_id"": ""CROP014"", ""crop_name"": ""Sunflower"", ""area_hectares"": 0.55, ""expected_cost_inr"": 11330.0, ""expected_revenue_inr"": 11194.0}]",43119.0,22580.0,20539.0,91.0,Draft - Pending Farmer Confirmation
PLAN0007,FARM0061,FARM_USR0052,2026-08-29,"[{""section_id"": ""SEC00096"", ""crop_id"": ""CROP008"", ""crop_name"": ""Pigeon Pea (Tur)"", ""area_hectares"": 2.04, ""expected_cost_inr"": 37332.0, ""expected_revenue_inr"": 34829.0}]",34829.0,37332.0,-2503.0,-6.7,Draft - Pending Farmer Confirmation
PLAN0008,FARM0068,FARM_USR0057,2026-08-29,"[{""section_id"": ""SEC00107"", ""crop_id"": ""CROP003"", ""crop_name"": ""Maize"", ""area_hectares"": 1.37, ""expected_cost_inr"": 34250.0, ""expected_revenue_inr"": 97193.0}]",97193.0,34250.0,62943.0,183.8,Draft - Pending Farmer Confirmation
PLAN0009,FARM0007,FARM_USR0006,2026-08-29,"[{""section_id"": ""SEC00007"", ""crop_id"": ""CROP003"", ""crop_name"": ""Maize"", ""area_hectares"": 0.61, ""expected_cost_inr"": 15250.0, ""expected_revenue_inr"": 43276.0}, {""section_id"": ""SEC00008"", ""crop_id"": ""CROP013"", ""crop_name"": ""Mustard"", ""area_hectares"": 0.33, ""expected_cost_inr"": 5676.0, ""expected_revenue_inr"": 10687.0}, {""section_id"": ""SEC00009"", ""crop_id"": ""CROP001"", ""crop_name"": ""Rice (Paddy)"", ""area_hectares"": 0.24, ""expected_cost_inr"": 9960.0, ""expected_revenue_inr"": 45995.0}]",99958.0,30886.0,69072.0,223.6,Draft - Pending Farmer Confirmation
PLAN0010,FARM0029,FARM_USR0026,2026-08-29,"[{""section_id"": ""SEC00047"", ""crop_id"": ""CROP016"", ""crop_name"": ""Cotton"", ""area_hectares"": 0.34, ""expected_cost_inr"": 15470.0, ""expected_revenue_inr"": 6156.0}, {""section_id"": ""SEC00048"", ""crop_id"": ""CROP022"", ""crop_name"": ""Chili"", ""area_hectares"": 0.54, ""expected_cost_inr"": 28080.0, ""expected_revenue_inr"": 30278.0}]",36434.0,43550.0,-7116.0,-16.3,Draft - Pending Farmer Confirmation
