price_id,crop_id,crop_name,state,district,mandi_name,date,min_price_per_unit_inr,max_price_per_unit_inr,modal_price_per_unit_inr,unit,arrivals_tonnes,source
MP000001,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-01-15,4443.0,5215.0,4829.0,Quintal,88.8,Agmarknet / e-NAM (synthetic)
MP000002,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-02-15,4573.0,5369.0,4971.0,Quintal,69.9,Agmarknet / e-NAM (synthetic)
MP000003,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-03-15,4466.0,5242.0,4854.0,Quintal,83.5,Agmarknet / e-NAM (synthetic)
MP000004,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-04-15,4500.0,5282.0,4891.0,Quintal,121.2,Agmarknet / e-NAM (synthetic)
MP000005,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-05-15,4386.0,5148.0,4767.0,Quintal,249.7,Agmarknet / e-NAM (synthetic)
MP000006,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-06-15,3901.0,4579.0,4240.0,Quintal,193.2,Agmarknet / e-NAM (synthetic)
MP000007,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-07-15,4250.0,4990.0,4620.0,Quintal,96.9,Agmarknet / e-NAM (synthetic)
MP000008,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-08-15,3573.0,4195.0,3884.0,Quintal,51.8,Agmarknet / e-NAM (synthetic)
MP000009,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-09-15,3696.0,4338.0,4017.0,Quintal,104.3,Agmarknet / e-NAM (synthetic)
MP000010,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-10-15,3711.0,4357.0,4034.0,Quintal,132.5,Agmarknet / e-NAM (synthetic)
MP000011,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-11-15,3530.0,4144.0,3837.0,Quintal,72.8,Agmarknet / e-NAM (synthetic)
MP000012,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2024-12-15,4402.0,5168.0,4785.0,Quintal,68.7,Agmarknet / e-NAM (synthetic)
MP000013,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2025-01-15,4540.0,5330.0,4935.0,Quintal,83.0,Agmarknet / e-NAM (synthetic)
MP000014,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2025-02-15,4998.0,5868.0,5433.0,Quintal,107.9,Agmarknet / e-NAM (synthetic)
MP000015,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2025-03-15,5057.0,5937.0,5497.0,Quintal,137.7,Agmarknet / e-NAM (synthetic)
MP000016,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2025-04-15,4755.0,5583.0,5169.0,Quintal,298.7,Agmarknet / e-NAM (synthetic)
MP000017,CROP001,Rice (Paddy),Punjab,Amritsar,Amritsar Mandi,2025-05-15,4699.0,5517.0,5108.0,Quintal,109.6,Agmarknet / e-NAM (synthetic)
