msp_id,crop_id,crop_name,season,year,msp_price_per_unit_inr,unit,announced_date,source
MSP0001,CROP001,Rice (Paddy),Kharif,2023,4170.0,Quintal,2023-06-27,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0002,CROP001,Rice (Paddy),Kharif,2024,4420.0,Quintal,2024-06-17,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0003,CROP001,Rice (Paddy),Kharif,2025,4670.0,Quintal,2025-06-09,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0004,CROP001,Rice (Paddy),Kharif,2026,4921.0,Quintal,2026-06-10,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0005,CROP002,Wheat,Rabi,2023,6512.0,Quintal,2023-10-21,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0006,CROP002,Wheat,Rabi,2024,6903.0,Quintal,2024-10-28,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0007,CROP002,Wheat,Rabi,2025,7293.0,Quintal,2025-10-19,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0008,CROP002,Wheat,Rabi,2026,7684.0,Quintal,2026-10-22,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0009,CROP003,Maize,Kharif,2023,4503.0,Quintal,2023-06-11,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0010,CROP003,Maize,Kharif,2024,4773.0,Quintal,2024-06-24,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0011,CROP003,Maize,Kharif,2025,5043.0,Quintal,2025-06-01,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0012,CROP003,Maize,Kharif,2026,5314.0,Quintal,2026-06-24,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0013,CROP004,Sorghum (Jowar),Kharif,2023,5407.0,Quintal,2023-06-02,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0014,CROP004,Sorghum (Jowar),Kharif,2024,5731.0,Quintal,2024-06-08,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0015,CROP004,Sorghum (Jowar),Kharif,2025,6056.0,Quintal,2025-06-05,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0016,CROP004,Sorghum (Jowar),Kharif,2026,6380.0,Quintal,2026-06-10,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0017,CROP005,Pearl Millet (Bajra),Kharif,2023,6471.0,Quintal,2023-06-20,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0018,CROP005,Pearl Millet (Bajra),Kharif,2024,6859.0,Quintal,2024-06-21,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0019,CROP005,Pearl Millet (Bajra),Kharif,2025,7248.0,Quintal,2025-06-14,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0020,CROP005,Pearl Millet (Bajra),Kharif,2026,7636.0,Quintal,2026-06-14,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0021,CROP006,Barley,Rabi,2023,1935.0,Quintal,2023-10-17,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0022,CROP006,Barley,Rabi,2024,2051.0,Quintal,2024-10-12,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0023,CROP006,Barley,Rabi,2025,2167.0,Quintal,2025-10-02,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0024,CROP006,Barley,Rabi,2026,2283.0,Quintal,2026-10-05,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0025,CROP007,Chickpea (Gram),Rabi,2023,5036.0,Quintal,2023-10-16,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0026,CROP007,Chickpea (Gram),Rabi,2024,5338.0,Quintal,2024-10-08,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0027,CROP007,Chickpea (Gram),Rabi,2025,5640.0,Quintal,2025-10-20,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0028,CROP007,Chickpea (Gram),Rabi,2026,5942.0,Quintal,2026-10-21,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0029,CROP008,Pigeon Pea (Tur),Kharif,2023,5006.0,Quintal,2023-06-02,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0030,CROP008,Pigeon Pea (Tur),Kharif,2024,5306.0,Quintal,2024-06-01,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0031,CROP008,Pigeon Pea (Tur),Kharif,2025,5607.0,Quintal,2025-06-02,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0032,CROP008,Pigeon Pea (Tur),Kharif,2026,5907.0,Quintal,2026-06-01,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0033,CROP009,Green Gram (Moong),Kharif,2023,5617.0,Quintal,2023-06-19,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0034,CROP009,Green Gram (Moong),Kharif,2024,5954.0,Quintal,2024-06-12,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0035,CROP009,Green Gram (Moong),Kharif,2025,6291.0,Quintal,2025-06-10,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0036,CROP009,Green Gram (Moong),Kharif,2026,6628.0,Quintal,2026-06-04,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0037,CROP010,Black Gram (Urad),Kharif,2023,5088.0,Quintal,2023-06-17,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0038,CROP010,Black Gram (Urad),Kharif,2024,5393.0,Quintal,2024-06-12,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0039,CROP010,Black Gram (Urad),Kharif,2025,5699.0,Quintal,2025-06-18,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0040,CROP010,Black Gram (Urad),Kharif,2026,6004.0,Quintal,2026-06-08,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0041,CROP011,Soybean,Kharif,2023,3082.0,Quintal,2023-06-14,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0042,CROP011,Soybean,Kharif,2024,3267.0,Quintal,2024-06-19,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0043,CROP011,Soybean,Kharif,2025,3452.0,Quintal,2025-06-10,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0044,CROP011,Soybean,Kharif,2026,3637.0,Quintal,2026-06-19,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0045,CROP012,Groundnut,Kharif,2023,6061.0,Quintal,2023-06-05,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0046,CROP012,Groundnut,Kharif,2024,6425.0,Quintal,2024-06-07,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0047,CROP012,Groundnut,Kharif,2025,6788.0,Quintal,2025-06-12,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0048,CROP012,Groundnut,Kharif,2026,7152.0,Quintal,2026-06-20,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0049,CROP013,Mustard,Rabi,2023,3678.0,Quintal,2023-10-27,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0050,CROP013,Mustard,Rabi,2024,3899.0,Quintal,2024-10-16,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0051,CROP013,Mustard,Rabi,2025,4119.0,Quintal,2025-10-06,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0052,CROP013,Mustard,Rabi,2026,4340.0,Quintal,2026-10-05,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0053,CROP014,Sunflower,Rabi,2023,4947.0,Quintal,2023-10-01,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
MSP0054,CROP014,Sunflower,Rabi,2024,5244.0,Quintal,2024-10-26,"Dept. of Agriculture & Farmers Welfare, data.gov.in (synthetic)"
