trade_id,crop_id,crop_name,country,year,export_qty_tonnes,import_qty_tonnes,trade_value_usd,yoy_demand_change_pct,source
TR00001,CROP001,Rice (Paddy),China,2021,510401.7,9569.5,326690397.0,-4.0,FAOSTAT / UN Comtrade (synthetic)
TR00002,CROP001,Rice (Paddy),China,2022,538291.9,2325.9,170930082.0,5.5,FAOSTAT / UN Comtrade (synthetic)
TR00003,CROP001,Rice (Paddy),China,2023,569402.0,5656.8,324166291.0,5.8,FAOSTAT / UN Comtrade (synthetic)
TR00004,CROP001,Rice (Paddy),China,2024,581515.1,13833.2,314293609.0,2.1,FAOSTAT / UN Comtrade (synthetic)
TR00005,CROP001,Rice (Paddy),China,2025,600180.7,23391.8,335655867.0,3.2,FAOSTAT / UN Comtrade (synthetic)
TR00006,CROP001,Rice (Paddy),Bangladesh,2021,495295.6,23064.8,235502868.0,3.6,FAOSTAT / UN Comtrade (synthetic)
TR00007,CROP001,Rice (Paddy),Bangladesh,2022,462776.3,14529.3,102994076.0,-6.6,FAOSTAT / UN Comtrade (synthetic)
TR00008,CROP001,Rice (Paddy),Bangladesh,2023,484570.8,11563.4,144625246.0,4.7,FAOSTAT / UN Comtrade (synthetic)
TR00009,CROP001,Rice (Paddy),Bangladesh,2024,497207.6,5931.1,146589100.0,2.6,FAOSTAT / UN Comtrade (synthetic)
TR00010,CROP001,Rice (Paddy),Bangladesh,2025,508628.4,24386.5,197337216.0,2.3,FAOSTAT / UN Comtrade (synthetic)
TR00011,CROP001,Rice (Paddy),Malaysia,2021,493412.4,350.8,240631456.0,-8.6,FAOSTAT / UN Comtrade (synthetic)
TR00012,CROP001,Rice (Paddy),Malaysia,2022,552775.4,25750.8,347764809.0,12.0,FAOSTAT / UN Comtrade (synthetic)
TR00013,CROP001,Rice (Paddy),Malaysia,2023,633778.9,13936.1,236752443.0,14.7,FAOSTAT / UN Comtrade (synthetic)
TR00014,CROP001,Rice (Paddy),Malaysia,2024,652353.1,8812.2,323803136.0,2.9,FAOSTAT / UN Comtrade (synthetic)
TR00015,CROP001,Rice (Paddy),Malaysia,2025,758762.3,9731.6,456172694.0,16.3,FAOSTAT / UN Comtrade (synthetic)
TR00016,CROP001,Rice (Paddy),USA,2021,575756.2,15362.7,136093401.0,16.6,FAOSTAT / UN Comtrade (synthetic)
