soil_id,farm_id,test_date,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,ph_value,organic_carbon_pct,soil_type,source
SOIL0001,FARM0001,2024-03-15,322.0,18.4,166.5,6.75,0.77,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0002,FARM0002,2023-06-04,307.9,25.0,158.4,6.66,0.51,Red soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0003,FARM0003,2024-11-21,243.9,10.5,234.0,7.41,0.53,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0004,FARM0004,2023-12-14,335.4,28.8,156.3,7.21,0.28,Red soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0005,FARM0005,2023-05-26,195.2,19.1,192.8,7.2,0.49,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0006,FARM0006,2023-05-13,330.0,19.2,172.6,6.86,0.58,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0007,FARM0007,2024-08-29,300.0,25.8,182.5,7.05,0.49,Black soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0008,FARM0008,2024-07-19,306.2,23.2,216.7,6.58,0.45,Sandy loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0009,FARM0009,2023-05-08,283.1,20.7,160.8,6.7,0.69,Loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0010,FARM0010,2023-05-22,221.1,22.6,108.4,7.12,0.54,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0011,FARM0011,2023-06-08,271.2,16.8,193.3,6.47,0.55,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0012,FARM0012,2025-03-23,219.5,21.2,179.5,7.4,0.57,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
SOIL0013,FARM0013,2024-10-29,235.2,23.6,218.8,6.37,0.59,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0014,FARM0014,2023-05-04,207.9,5.0,192.2,7.72,0.56,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0015,FARM0015,2023-03-24,300.9,5.3,217.0,7.02,0.88,Red soil,"Soil Health Card, data.gov.in (synthetic)"
SOIL0016,FARM0016,2025-04-06,239.1,23.4,102.3,7.12,0.47,Alluvial,"Soil Health Card, data.gov.in (synthetic)"
SOIL0017,FARM0017,2023-07-10,262.5,22.2,155.6,6.84,0.61,Clay loam,"Soil Health Card, data.gov.in (synthetic)"
