weather_id,region_id,date,temp_min_c,temp_max_c,rainfall_mm,humidity_pct,wind_speed_kmph,forecast_type,source
WX000001,REG001,2026-06-01,17.2,28.7,8.2,86.3,2,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000002,REG001,2026-06-02,16.9,30.8,2.3,87.5,9.7,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000003,REG001,2026-06-03,15.6,29.4,5.5,83.4,9.0,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000004,REG001,2026-06-04,16.8,29.7,2.9,82.5,9.9,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000005,REG001,2026-06-05,18.6,31.9,11.8,80.8,6.4,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000006,REG001,2026-06-06,19.2,28.1,6.7,77.6,8.5,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000007,REG001,2026-06-07,18.1,28.8,10.5,73.8,10.0,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000008,REG001,2026-06-08,18.9,30.8,3.2,76.1,3.1,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000009,REG001,2026-06-09,19.0,28.6,0.6,80.0,9.5,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000010,REG001,2026-06-10,17.1,26.6,16.7,86.6,11.5,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000011,REG001,2026-06-11,17.6,32.0,2.9,80.1,17.0,observed,Open-Meteo / NASA POWER / IMD (synthetic)
WX000012,REG001,2026-06-12,16.8,32.7,2.7,84.8,5.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000013,REG001,2026-06-13,18.1,31.4,5.9,69.1,9.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000014,REG001,2026-06-14,17.9,29.6,4.8,82.5,14.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000015,REG001,2026-06-15,18.1,28.1,4.0,89.8,12.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000016,REG001,2026-06-16,18.1,28.3,5.6,82.0,11.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000017,REG001,2026-06-17,17.6,26.7,14.7,78.0,8.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000018,REG001,2026-06-18,15.8,28.7,1.6,81.7,9.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000019,REG001,2026-06-19,17.5,32.9,2.5,76.1,6.3,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000020,REG001,2026-06-20,18.3,29.1,3.5,88.3,17.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000021,REG001,2026-06-21,20.7,29.3,10.1,82.5,3.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000022,REG001,2026-06-22,17.8,29.3,3.4,83.5,8.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000023,REG001,2026-06-23,19.4,31.6,5.9,81.0,10.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000024,REG001,2026-06-24,18.5,28.7,0.5,88.0,11.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000025,REG001,2026-06-25,19.7,29.8,8.0,75.4,9.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000026,REG001,2026-06-26,15.9,27.1,14.7,65.8,4.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000027,REG001,2026-06-27,17.3,25.4,4.1,79.9,11.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000028,REG001,2026-06-28,17.5,30.0,11.6,78.3,12.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000029,REG001,2026-06-29,18.1,28.0,26.4,83.5,9.8,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000030,REG001,2026-06-30,18.9,27.1,9.2,72.2,10.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000031,REG001,2026-07-01,17.6,29.1,3.2,84.7,13.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000032,REG001,2026-07-02,19.7,28.2,1.5,74.9,9.5,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000033,REG001,2026-07-03,17.6,28.9,1.2,80.4,10.9,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000034,REG001,2026-07-04,16.6,27.7,5.0,76.6,7.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000035,REG001,2026-07-05,18.1,29.0,2.4,78.5,11.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000036,REG001,2026-07-06,18.2,30.2,4.8,77.8,4.4,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000037,REG001,2026-07-07,15.6,30.8,8.9,83.6,13.2,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000038,REG001,2026-07-08,13.5,28.6,2.8,87.0,9.1,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000039,REG001,2026-07-09,17.5,26.9,15.4,80.3,10.0,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
WX000040,REG001,2026-07-10,17.2,27.2,2.9,77.2,10.7,forecast,Open-Meteo / NASA POWER / IMD (synthetic)
